source address,destination address,opcode,timestamp,counter,ONU_id,start,end
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.08339828571,1412,2,8.08339828571,8.08495447619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.08543166667,1412,1,8.08543166667,8.08705985714
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.08753704762,1412,0,8.08753704762,8.0890212381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.08949842857,1413,2,8.08949842857,8.09119861905
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.09167580952,1413,1,8.09167580952,8.093232
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.09370919048,1413,0,8.09370919048,8.09519338095
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.09567057143,1414,2,8.09567057143,8.0970827619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.09755995238,1414,1,8.09755995238,8.09868414286
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.09916133333,1414,0,8.09916133333,8.10086152381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.10133871429,1415,2,8.10133871429,8.10253490476
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.10301209524,1415,1,8.10301209524,8.10471228571
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.10518947619,1415,0,8.10518947619,8.10667366667
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.10715085714,1416,2,8.10715085714,8.10813104762
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.1086082381,1416,1,8.1086082381,8.11009242857
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.11056961905,1416,0,8.11056961905,8.11190980952
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.112387,1417,2,8.112387,8.11351119048
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.11398838095,1417,1,8.11398838095,8.11561657143
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.1160937619,1417,0,8.1160937619,8.11743395238
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.11791114286,1418,2,8.11791114286,8.11903533333
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.11951252381,1418,1,8.11951252381,8.12106871429
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.12154590476,1418,0,8.12154590476,8.12281409524
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.12329128571,1419,2,8.12329128571,8.12527947619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.12575666667,1419,1,8.12575666667,8.12760085714
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.12807804762,1419,0,8.12807804762,8.1296342381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.13011142857,1420,2,8.13011142857,8.13145161905
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.13192880952,1420,1,8.13192880952,8.133341
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.13381819048,1420,0,8.13381819048,8.13551838095
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.13599557143,1421,2,8.13599557143,8.1375517619
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.13802895238,1421,1,8.13802895238,8.13915314286
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.13963033333,1421,0,8.13963033333,8.14118652381
ff:ff:ff:ff:00:01,00:00:00:00:66:162,02,8.14166371429,1422,2,8.14166371429,8.14350790476
ff:ff:ff:ff:00:01,00:00:00:00:196:231,02,8.14398509524,1422,1,8.14398509524,8.14568528571
ff:ff:ff:ff:00:01,00:00:00:00:231:175,02,8.14616247619,1422,0,8.14616247619,8.14743066667
