trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.5, 'e': 0.08458485900156469}",25,0,40.816334279567734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.08374322559219596}",20,8,20.902493587687616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08290996657517266}",30,19,21.05422050370033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,10,8.028624003983557,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08126823924089167}",25,9,16.044377897755137,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.08045960674953243}",20,14,11.805131154982101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07965902028589801}",20,16,7.114752011077952,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07886639979067495}",25,0,-8.245595538847887,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
255,False,"{'a': 0.5, 'e': 0.07808166600115313}",30,15,13.600697721744762,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07730474044329974}",20,0,21.63205016355638,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.07653554542391151}",25,15,10.710477168223338,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07577400402284548}",25,7,30.51325171939009,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07502004008532698}",20,9,16.324539483651986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07427357821433388}",30,0,9.170769913140376,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.0735345437630571}",20,6,25.09202635567646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07280286282743559}",25,15,12.122164137642764,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.0720784622387661}",20,5,-19.846950726534878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
264,False,"{'a': 0.5, 'e': 0.07136126955638605}",25,20,8.998441307562278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.0706512130604296}",20,5,27.305231596314943,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06994822174465536}",25,17,-26.22085163159409,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 0.06925222530934598}",20,11,-1.6454128316973593,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.06856315415427791}",20,13,13.568849127239924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06788093937176144}",25,9,6.09666378686842,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,12,15.26584705080695,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06653680671501686}",20,16,6.829588570099211,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06587475442640295}",20,14,10.105426712318131,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.06521928966812753}",25,17,16.471843352852456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06457034689316847}",20,13,16.892083622412677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
